,Code,Entity Name,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,WB,iso2Code3,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,ISO,Country,WEO
24,BGR,Bulgaria,Bulgaria,Europe,Europe,Europe and Central Asia,Europe and Northern America,BGR,BGR,BG,Bulgaria,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,BGR,Bulgaria,BGR
25,BHR,Bahrain,Bahrain,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,BHR,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,BHR,Bahrain,BHR
26,BHS,"Bahamas, The",Bahamas,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BHS,BHS,BS,"Bahamas, The",Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,BHS,The Bahamas,BHS
27,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Europe,Europe and Central Asia,Europe and Northern America,BIH,BIH,BA,Bosnia and Herzegovina,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,BIH,Bosnia and Herzegovina,BIH
28,BLM,Saint BarthÃ©lemy,Saint BarthÃ©lemy,North America,,,,BLM,,,,,,,,,,,,,
29,BLR,Belarus,Belarus,Europe,Europe,Europe and Central Asia,Europe and Northern America,BLR,BLR,BY,Belarus,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,BLR,Belarus,BLR
30,BLZ,Belize,Belize,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BLZ,BLZ,BZ,Belize,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,Belmopan,-88.7713,17.2534,BLZ,Belize,BLZ
31,BMU,Bermuda,Bermuda,North America,,North America,Europe and Northern America,BMU,BMU,BM,Bermuda,North America,,High income,Not classified,Hamilton,-64.706,32.3293,,,
32,BOL,Bolivia,Bolivia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,BOL,BOL,BO,Bolivia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,BOL,Bolivia,BOL
33,BRA,Brazil,Brazil,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,BRA,BRA,BR,Brazil,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,BRA,Brazil,BRA
34,BRB,Barbados,Barbados,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BRB,BRB,BB,Barbados,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,BRB,Barbados,BRB
35,BRN,Brunei Darussalam,Brunei,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,BRN,BRN,BN,Brunei Darussalam,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.94199,BRN,Brunei Darussalam,BRN
36,BTN,Bhutan,Bhutan,Asia,South-East Asia,South Asia,Central and Southern Asia,BTN,BTN,BT,Bhutan,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,BTN,Bhutan,BTN
37,BVT,Bouvet Island,Bouvet Island,Antarctica,,,,BVT,,,,,,,,,,,,,
38,BWA,Botswana,Botswana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BWA,BWA,BW,Botswana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,BWA,Botswana,BWA
39,CAF,Central African Republic,Central African Republic,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CAF,CAF,CF,Central African Republic,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bangui,21.6407,5.63056,CAF,Central African Republic,CAF
40,CAN,Canada,Canada,North America,Americas,North America,Europe and Northern America,CAN,CAN,CA,Canada,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,CAN,Canada,CAN
41,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Asia,,,Oceania,CCK,,,,,,,,,,,,,
42,CHE,Switzerland,Switzerland,Europe,Europe,Europe and Central Asia,Europe and Northern America,CHE,CHE,CH,Switzerland,Europe & Central Asia,,High income,Not classified,Bern,7.44821,46.948,CHE,Switzerland,CHE
43,CHL,Chile,Chile,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,CHL,CHL,CL,Chile,Latin America & Caribbean ,,High income,IBRD,Santiago,-70.6475,-33.475,CHL,Chile,CHL
44,CHN,China,China,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,CHN,CHN,CN,China,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Beijing,116.286,40.0495,CHN,China,CHN
45,CIV,Cote d'Ivoire,Cote d'Ivoire,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CIV,CIV,CI,Cote d'Ivoire,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Yamoussoukro,-4.0305,5.332,CIV,Côte d'Ivoire,CIV
46,CMR,Cameroon,Cameroon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CMR,CMR,CM,Cameroon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,CMR,Cameroon,CMR
47,COD,"Congo, Dem. Rep.",Democratic Republic of Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COD,COD,CD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kinshasa,15.3222,-4.325,COD,Democratic Republic of the Congo,COD
48,COG,"Congo, Rep.",Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COG,COG,CG,"Congo, Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Brazzaville,15.2662,-4.2767,COG,Republic of Congo,COG
49,COK,Cook Islands,Cook Islands,Oceania,Western Pacific,,Oceania,COK,,,,,,,,,,,,,
50,COL,Colombia,Colombia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,COL,COL,CO,Colombia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Bogota,-74.082,4.60987,COL,Colombia,COL
51,COM,Comoros,Comoros,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COM,COM,KM,Comoros,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Moroni,43.2418,-11.6986,COM,Comoros,COM
52,CPV,Cabo Verde,Cape Verde,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CPV,CPV,CV,Cabo Verde,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,CPV,Cabo Verde,CPV
53,CRI,Costa Rica,Costa Rica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,CRI,CRI,CR,Costa Rica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,San Jose,-84.0089,9.63701,CRI,Costa Rica,CRI
54,CUB,Cuba,Cuba,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,CUB,CUB,CU,Cuba,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Not classified,Havana,-82.3667,23.1333,,,
55,CUW,Curacao,Curacao,North America,,Latin America and Caribbean,Latin America and Caribbean,CUW,CUW,CW,Curacao,Latin America & Caribbean ,,High income,Not classified,Willemstad,,,,,
56,CXR,Christmas Island,Christmas Island,Asia,,,Oceania,CXR,,,,,,,,,,,,,
57,CYM,Cayman Islands,Cayman Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,CYM,CYM,KY,Cayman Islands,Latin America & Caribbean ,,High income,Not classified,George Town,-81.3857,19.3022,,,
58,CYP,Cyprus,Cyprus,Europe,Europe,Europe and Central Asia,Northern Africa and Western Asia,CYP,CYP,CY,Cyprus,Europe & Central Asia,,High income,Not classified,Nicosia,33.3736,35.1676,CYP,Cyprus,CYP
59,CZE,Czech Republic,Czechia,Europe,Europe,Europe and Central Asia,Europe and Northern America,CZE,CZE,CZ,Czech Republic,Europe & Central Asia,,High income,Not classified,Prague,14.4205,50.0878,CZE,Czech Republic,CZE
60,DEU,Germany,Germany,Europe,Europe,Europe and Central Asia,Europe and Northern America,DEU,DEU,DE,Germany,Europe & Central Asia,,High income,Not classified,Berlin,13.4115,52.5235,DEU,Germany,DEU
61,DJI,Djibouti,Djibouti,Africa,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,DJI,DJI,DJ,Djibouti,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IDA,Djibouti,43.1425,11.5806,DJI,Djibouti,DJI
62,DMA,Dominica,Dominica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,DMA,DMA,DM,Dominica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Roseau,-61.39,15.2976,DMA,Dominica,DMA
63,DNK,Denmark,Denmark,Europe,Europe,Europe and Central Asia,Europe and Northern America,DNK,DNK,DK,Denmark,Europe & Central Asia,,High income,Not classified,Copenhagen,12.5681,55.6763,DNK,Denmark,DNK
64,DOM,Dominican Republic,Dominican Republic,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,DOM,DOM,DO,Dominican Republic,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Santo Domingo,-69.8908,18.479,DOM,Dominican Republic,DOM
65,DZA,Algeria,Algeria,Africa,Africa,Middle East and North Africa,Northern Africa and Western Asia,DZA,DZA,DZ,Algeria,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Algiers,3.05097,36.7397,DZA,Algeria,DZA
66,ECU,Ecuador,Ecuador,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,ECU,ECU,EC,Ecuador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Quito,-78.5243,-0.229498,ECU,Ecuador,ECU
67,EGY,"Egypt, Arab Rep.",Egypt,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,EGY,EGY,EG,"Egypt, Arab Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Cairo,31.2461,30.0982,EGY,Egypt,EGY
68,ERI,Eritrea,Eritrea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ERI,ERI,ER,Eritrea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Asmara,38.9183,15.3315,ERI,Eritrea,ERI
69,ESH,Western Sahara,Western Sahara,Africa,,,Northern Africa and Western Asia,ESH,,,,,,,,,,,,,
70,ESP,Spain,Spain,Europe,Europe,Europe and Central Asia,Europe and Northern America,ESP,ESP,ES,Spain,Europe & Central Asia,,High income,Not classified,Madrid,-3.70327,40.4167,ESP,Spain,ESP
71,EST,Estonia,Estonia,Europe,Europe,Europe and Central Asia,Europe and Northern America,EST,EST,EE,Estonia,Europe & Central Asia,,High income,Not classified,Tallinn,24.7586,59.4392,EST,Estonia,EST
72,ETH,Ethiopia,Ethiopia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ETH,ETH,ET,Ethiopia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Addis Ababa,38.7468,9.02274,ETH,Ethiopia,ETH
73,FIN,Finland,Finland,Europe,Europe,Europe and Central Asia,Europe and Northern America,FIN,FIN,FI,Finland,Europe & Central Asia,,High income,Not classified,Helsinki,24.9525,60.1608,FIN,Finland,FIN
74,FJI,Fiji,Fiji,Oceania,Western Pacific,East Asia and Pacific,Oceania,FJI,FJI,FJ,Fiji,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Blend,Suva,178.399,-18.1149,FJI,Fiji,FJI
75,FLK,Falkland Islands,Falkland Islands,South America,,,Latin America and Caribbean,FLK,,,,,,,,,,,,,
76,FRA,France,France,Europe,Europe,Europe and Central Asia,Europe and Northern America,FRA,FRA,FR,France,Europe & Central Asia,,High income,Not classified,Paris,2.35097,48.8566,FRA,France,FRA
77,FRO,Faroe Islands,Faeroe Islands,Europe,,Europe and Central Asia,Europe and Northern America,FRO,FRO,FO,Faroe Islands,Europe & Central Asia,,High income,Not classified,Torshavn,-6.91181,61.8926,,,
78,FSM,"Micronesia, Fed. Sts.",Micronesia,Oceania,Western Pacific,East Asia and Pacific,Oceania,FSM,FSM,FM,"Micronesia, Fed. Sts.",East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Palikir,158.185,6.91771,FSM,Micronesia,FSM
79,GAB,Gabon,Gabon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GAB,GAB,GA,Gabon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Libreville,9.45162,0.38832,GAB,Gabon,GAB
80,GBR,United Kingdom,United Kingdom,Europe,Europe,Europe and Central Asia,Europe and Northern America,GBR,GBR,GB,United Kingdom,Europe & Central Asia,,High income,Not classified,London,-0.126236,51.5002,GBR,United Kingdom,GBR
81,GEO,Georgia,Georgia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,GEO,GEO,GE,Georgia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tbilisi,44.793,41.71,GEO,Georgia,GEO
82,GGY,Guernsey,Guernsey,Europe,,,,GGY,,,,,,,,,,,,,
83,GHA,Ghana,Ghana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GHA,GHA,GH,Ghana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Accra,-0.20795,5.57045,GHA,Ghana,GHA
84,GIB,Gibraltar,Gibraltar,Europe,,Europe and Central Asia,Europe and Northern America,GIB,GIB,GI,Gibraltar,Europe & Central Asia,,High income,Not classified,,,,,,
85,GIN,Guinea,Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GIN,GIN,GN,Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Conakry,-13.7,9.51667,GIN,Guinea,GIN
86,GLP,Guadeloupe,Guadeloupe,North America,,,Latin America and Caribbean,GLP,,,,,,,,,,,,,
87,GMB,"Gambia, The",Gambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GMB,GMB,GM,"Gambia, The",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Banjul,-16.5885,13.4495,GMB,The Gambia,GMB
88,GNB,Guinea-Bissau,Guinea-Bissau,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GNB,GNB,GW,Guinea-Bissau,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bissau,-15.1804,11.8037,GNB,Guinea-Bissau,GNB
89,GNQ,Equatorial Guinea,Equatorial Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GNQ,GNQ,GQ,Equatorial Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Malabo,8.7741,3.7523,GNQ,Equatorial Guinea,GNQ
90,GRC,Greece,Greece,Europe,Europe,Europe and Central Asia,Europe and Northern America,GRC,GRC,GR,Greece,Europe & Central Asia,,High income,Not classified,Athens,23.7166,37.9792,GRC,Greece,GRC
91,GRD,Grenada,Grenada,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,GRD,GRD,GD,Grenada,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Saint George's,-61.7449,12.0653,GRD,Grenada,GRD
92,GRL,Greenland,Greenland,North America,,Europe and Central Asia,Europe and Northern America,GRL,GRL,GL,Greenland,Europe & Central Asia,,High income,Not classified,Nuuk,-51.7214,64.1836,,,
93,GTM,Guatemala,Guatemala,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,GTM,GTM,GT,Guatemala,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Guatemala City,-90.5328,14.6248,GTM,Guatemala,GTM
94,GUF,French Guiana,French Guiana,South America,,,Latin America and Caribbean,GUF,,,,,,,,,,,,,
95,GUM,Guam,Guam,Oceania,,East Asia and Pacific,Oceania,GUM,GUM,GU,Guam,East Asia & Pacific,,High income,Not classified,Agana,144.794,13.4443,,,
96,GUY,Guyana,Guyana,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,GUY,GUY,GY,Guyana,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IDA,Georgetown,-58.1548,6.80461,GUY,Guyana,GUY
97,HKG,"Hong Kong SAR, China",Hong Kong,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia,HKG,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,,High income,Not classified,,114.109,22.3964,HKG,Hong Kong SAR,HKG
98,HMD,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Antarctica,,,Oceania,HMD,,,,,,,,,,,,,
99,HND,Honduras,Honduras,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,HND,HND,HN,Honduras,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Tegucigalpa,-87.4667,15.1333,HND,Honduras,HND
100,HRV,Croatia,Croatia,Europe,Europe,Europe and Central Asia,Europe and Northern America,HRV,HRV,HR,Croatia,Europe & Central Asia,,High income,IBRD,Zagreb,15.9614,45.8069,HRV,Croatia,HRV
101,HTI,Haiti,Haiti,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,HTI,HTI,HT,Haiti,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Port-au-Prince,-72.3288,18.5392,HTI,Haiti,HTI
102,HUN,Hungary,Hungary,Europe,Europe,Europe and Central Asia,Europe and Northern America,HUN,HUN,HU,Hungary,Europe & Central Asia,,High income,Not classified,Budapest,19.0408,47.4984,HUN,Hungary,HUN
103,IDN,Indonesia,Indonesia,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,IDN,IDN,ID,Indonesia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Jakarta,106.83,-6.19752,IDN,Indonesia,IDN
104,IMN,Isle of Man,Isle of Man,Europe,,Europe and Central Asia,Europe and Northern America,IMN,IMN,IM,Isle of Man,Europe & Central Asia,,High income,Not classified,Douglas,-4.47928,54.1509,,,
105,IND,India,India,Asia,South-East Asia,South Asia,Central and Southern Asia,IND,IND,IN,India,South Asia,South Asia,Lower middle income,IBRD,New Delhi,77.225,28.6353,IND,India,IND
106,IOT,British Indian Ocean Territory,British Indian Ocean Territory,Asia,,,,IOT,,,,,,,,,,,,,
107,IRL,Ireland,Ireland,Europe,Europe,Europe and Central Asia,Europe and Northern America,IRL,IRL,IE,Ireland,Europe & Central Asia,,High income,Not classified,Dublin,-6.26749,53.3441,IRL,Ireland,IRL
108,IRN,"Iran, Islamic Rep.",Iran,Asia,Eastern Mediterranean,Middle East and North Africa,Central and Southern Asia,IRN,IRN,IR,"Iran, Islamic Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tehran,51.4447,35.6878,IRN,Islamic Republic of Iran,IRN
109,IRQ,Iraq,Iraq,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,IRQ,IRQ,IQ,Iraq,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Baghdad,44.394,33.3302,IRQ,Iraq,IRQ
110,ISL,Iceland,Iceland,Europe,Europe,Europe and Central Asia,Europe and Northern America,ISL,ISL,IS,Iceland,Europe & Central Asia,,High income,Not classified,Reykjavik,-21.8952,64.1353,ISL,Iceland,ISL
111,ISR,Israel,Israel,Asia,Europe,Middle East and North Africa,Northern Africa and Western Asia,ISR,ISR,IL,Israel,Middle East & North Africa,,High income,Not classified,,35.2035,31.7717,ISR,Israel,ISR
112,ITA,Italy,Italy,Europe,Europe,Europe and Central Asia,Europe and Northern America,ITA,ITA,IT,Italy,Europe & Central Asia,,High income,Not classified,Rome,12.4823,41.8955,ITA,Italy,ITA
113,JAM,Jamaica,Jamaica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,JAM,JAM,JM,Jamaica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Kingston,-76.792,17.9927,JAM,Jamaica,JAM
114,JEY,Jersey,Jersey,Europe,,,,JEY,,,,,,,,,,,,,
115,JOR,Jordan,Jordan,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,JOR,JOR,JO,Jordan,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Amman,35.9263,31.9497,JOR,Jordan,JOR
116,JPN,Japan,Japan,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,JPN,JPN,JP,Japan,East Asia & Pacific,,High income,Not classified,Tokyo,139.77,35.67,JPN,Japan,JPN
117,KAZ,Kazakhstan,Kazakhstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,KAZ,KAZ,KZ,Kazakhstan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Astana,71.4382,51.1879,KAZ,Kazakhstan,KAZ
118,KEN,Kenya,Kenya,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,KEN,KEN,KE,Kenya,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Nairobi,36.8126,-1.27975,KEN,Kenya,KEN
119,KGZ,Kyrgyz Republic,Kyrgyzstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,KGZ,KGZ,KG,Kyrgyz Republic,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Bishkek,74.6057,42.8851,KGZ,Kyrgyz Republic,KGZ
120,KHM,Cambodia,Cambodia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,KHM,KHM,KH,Cambodia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,104.874,11.5556,KHM,Cambodia,KHM
