iso_code,country,group_OWID_Continent,group_UN_Region,group_WHO_Region,group_WB_region,group_WB_adminregion,group_WB_incomeLevel,group_WB_lendingType,group_WB_longitude,group_WB_latitude,group_OWID_Continent_exclude_US,group_UN_Region_exclude_US,group_WHO_Region_exclude_US,group_WB_region_exclude_US,group_WB_adminregion_exclude_US,group_WB_incomeLevel_exclude_US,group_WB_lendingType_exclude_US,group_is_USA,year,area,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_cons_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,gdp,gdp_per_captia,gdp_ppp,gdp_ppp_per_capita,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,population,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
CHL,Chile,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,,High income,IBRD,-70.6475,-33.475,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,,High income,IBRD,Other Entities,2019,743532.0,,,,,92.866,1.76,2.195,,404.765,0.604,0.523,4595.002,87.085,962.43,18.24,,,,,22.752,18.611,80.17,80.17,2.476,11.304,24689.814,,2.633,9.325,2453.562,46.5,19178.412,363.47,58.002,77.677,15.548,8.764,65.131,892.252,16.91,3436.604,,,,,21.093,13.919,279385487344.492,14741.7144039936,481296362634.805,25395.4977729202,32.45,-8.583,-4.984,53.091,1090.648,20.67,2801.331,25.783,11.346,1.931,1.979,104.453,1776.59,33.67,5511.421,41.998,22.323,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.038,211.254,598.88,11.35,11146.806,,,,,14.157,45.147,23.639,1.96,0.2,3.867,0.88,103.419,10.553,1247.325,2.445,0.249,5.052,4230.152,18952035.0,467.922,1.931,1.979,104.453,1776.59,33.67,5511.421,41.998,22.323,22.628,2.879,15.601,323.976,6.14,823.169,7.659,3.334,35.934,3.204,12.122,258.547,4.9,639.596,6.112,2.591
CHN,China,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,116.286,40.0495,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Other Entities,2019,9424702.9,12.958,4.338,26.373,37.813,78.617,112.72,1.512,0.096,559.811,0.837,188.679,15845.612,22719.163,3382.449,4849.7,3.754,801.489,15451.729,22154.439,65.042,57.586,7439.41,7456.21,3.236,1236.708,27516.3,,2.053,675.055,3552.105,5092.95,23408.474,33562.691,68.305,85.071,8.612,244.519,3083.768,162.158,232.5,2150.792,9.999,161.41,1238.4,1775.598,3.118,7.816,14279937467431.0,10143.8381719921,23443654490268.2,16653.338843518,4174.07,5.752,171.39,3151.082,887.54,1272.54,2197.739,17.067,7.987,10.541,561.654,5889.765,1648.269,2363.262,4107.848,31.695,14.929,-16.8,-0.226,17.768,130.27,863.457,243.203,348.7,602.223,4.677,2.189,3.217,241.858,7759.733,7.498,10.75,5412.07,1.009,22.19,1549.392,2221.493,0.144,19.669,279.129,112.724,,19.829,46.189,78.62,,194.68,1.512,,0.708,5200.373,1407745000.0,39452.425,9.388,431.384,5026.308,1405.067,2014.562,3505.625,27.019,12.74,26.158,115.009,554.673,156.23,224.0,386.86,3.004,1.406,10.39,94.459,1003.611,282.679,405.3,699.974,5.436,2.544
COL,Colombia,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,-74.082,4.60987,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Other Entities,2019,1109500.0,0.869,0.083,191.865,9.658,23.044,1.16,1.541,1.822,178.557,24.359,11.074,1123.115,56.537,117.602,5.92,0.07,0.471,13385.344,673.811,7.865,10.663,75.58,75.27,3.128,16.081,10532.973,,6.035,21.625,395.714,19.92,7548.137,379.969,26.465,71.662,1.789,2.363,134.464,264.604,13.32,2671.157,2.624,3.374,2620.985,131.939,17.696,25.36,323429888934.257,6424.9794924083,789757065676.292,15688.6333779317,13.44,-4.77,-6.716,134.074,1072.519,53.99,2663.394,71.728,25.286,-3.558,-5.544,150.255,1099.535,55.35,2984.844,73.535,28.338,0.31,0.41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.529,8.187,188.967,13.508,0.68,3753.866,2.351,12.465,10779.068,542.612,0.903,35.639,6.041,1.16,0.0,14.714,0.775,23.044,0.0,120.015,1.541,0.0,1.139,1495.249,50339443.0,530.224,-3.558,-5.544,150.255,1099.535,55.35,2984.844,73.535,28.338,989.533,0.295,0.325,2.781,0.14,6.455,0.186,0.061,13.806,0.019,0.157,1.192,0.06,3.115,0.08,0.03
DEU,Germany,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,13.4115,52.5235,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,349380.0,-1.705,-0.558,385.073,32.16,600.237,50.13,8.362,0.887,361.574,-22.62,-182.472,7474.142,624.218,2052.874,171.45,-24.779,-108.88,3957.608,330.528,28.599,17.218,566.82,599.49,-2.863,-106.845,43408.366,,-4.948,-146.055,3401.581,284.09,33595.867,2805.828,47.389,77.395,3.304,28.364,886.871,1088.64,90.92,10619.048,-3.808,-2.11,638.284,53.308,15.166,24.463,3888326788627.44,46794.8992915603,4624363265512.61,55652.8874913932,216.76,11.921,5.326,50.001,236.239,19.73,598.687,3.291,1.379,5.025,39.209,819.514,3776.474,315.4,9812.534,52.611,22.605,-32.67,-5.764,-1.593,-3.009,185.893,898.858,75.07,2225.806,12.522,5.128,0.626,8.054,1294.737,260.067,21.72,15502.677,0.0,,,,3.623,35.714,124.843,50.33,0.2,-1.66,-2.107,602.631,2.395,1494.816,8.395,0.033,3.444,7178.055,83092962.0,3625.339,7.139,42.218,633.621,2877.616,240.33,7586.728,40.089,17.478,0.954,1.086,114.877,531.389,44.38,1375.488,7.403,3.169,14.078,38.471,311.741,1507.357,125.89,3732.664,21.0,8.599
DNK,Denmark,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,12.5681,55.6763,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,40000.0,,,,,1030.86,5.95,20.156,,205.285,-43.001,-7.979,1832.468,10.577,573.47,3.31,,,,,11.213,5.626,35.33,29.52,-2.933,-5.682,32572.68,,-8.298,-11.544,1115.755,6.44,22104.053,127.582,21.816,67.861,-7.152,-2.232,28.978,363.833,2.1,5020.516,-25.396,-10.902,5548.553,32.026,7.114,15.413,347561349210.979,59775.7350964515,341312238517.289,58700.9746656312,6.06,15.423,0.006,0.043,3.465,0.02,7.386,0.068,0.023,10.988,5.711,57.681,3998.699,23.08,9993.44,78.184,30.68,5.81,16.445,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.492,-1.333,88.027,178.451,1.03,15251.07,-11.15,-7.323,10109.438,58.35,3.489,46.822,15.262,5.95,0.0,1.661,0.249,1030.86,0.0,2644.286,20.156,0.0,8.118,5114.454,5814422.0,188.006,10.988,5.711,57.681,3998.699,23.08,9993.44,78.184,30.68,0.708,0.017,2.385,166.324,0.96,413.256,3.252,1.269,15.741,5.439,39.991,2798.05,16.15,6928.511,54.709,21.271
ECU,Ecuador,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,-78.5243,-0.229498,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Other Entities,2019,248360.0,,,,,82.884,1.44,4.544,,146.734,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,29.87,31.69,2.484,5.011,11899.61,,-3.429,-5.102,328.083,5.7,8269.471,143.671,17.987,69.494,-10.631,-0.752,6.321,71.372,1.24,363.799,0.0,,,,3.913,3.057,108108009000.0,6222.52465327248,205903294944.802,11851.4654079335,4.65,18.838,9.681,61.074,1405.576,24.42,3515.328,77.059,29.542,19.097,10.074,62.824,1495.943,25.99,3616.053,82.013,30.388,-1.82,-6.093,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.07,-4.35,137.35,256.711,4.46,7905.673,2.661,8.579,19051.589,330.996,14.074,66.436,1.126,1.44,0.0,5.86,0.062,82.884,0.0,64.81,4.544,0.0,0.545,1824.026,17373657.0,206.74,19.097,10.074,62.824,1495.943,25.99,3616.053,82.013,30.388,335.508,0.318,0.412,2.302,0.04,23.724,0.126,0.199,6.172,0.012,0.212,5.18,0.09,12.19,0.284,0.102
EGY,Egypt,Africa,Northern Africa and Western Asia,Eastern Mediterranean,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,31.2461,30.0982,Africa,Northern Africa and Western Asia,Eastern Mediterranean,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Other Entities,2019,995450.0,,,,,0.0,0.0,0.0,,474.78,-8.118,-2.027,228.521,22.941,0.0,0.0,,,,,0.0,2.138,182.7,182.99,0.22,2.355,10686.491,,-0.557,-5.739,1650.993,165.74,10201.005,1024.059,90.573,95.457,-1.089,-6.492,589.454,1400.764,140.62,5871.756,10.896,63.804,6468.766,649.387,76.846,54.946,303080865603.645,3019.09228346646,1230830145121.9,12260.7205373863,86.88,2.751,0.876,32.72,120.433,12.09,325.935,6.607,3.05,19.916,8.095,48.738,171.833,17.25,485.495,9.427,4.543,-0.29,-0.159,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,2.78,411.664,250.229,25.12,4100.728,-3.142,-12.002,3685.433,369.974,13.728,38.373,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.826,100388076.0,1072.796,19.916,8.095,48.738,171.833,17.25,485.495,9.427,4.543,245.336,3.372,4.746,14.643,1.47,47.281,0.803,0.442,51.807,3.847,11.271,36.757,3.69,112.278,2.017,1.051
ESP,Spain,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,-3.70327,40.4167,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,499603.479,-0.202,-0.039,416.865,19.483,119.178,5.57,2.056,1.253,243.494,-66.144,-85.021,931.145,43.519,275.158,12.86,105.358,9.428,393.205,18.377,4.747,2.8,277.75,270.89,-3.373,-54.25,33256.298,,-3.321,-39.577,2386.771,111.55,24648.531,1151.993,41.179,74.117,14.215,44.772,359.745,1791.095,83.71,7697.257,0.0,,,,30.902,23.145,1393046093137.25,29554.4905170087,1965293955067.71,41695.1469476327,65.96,-34.749,-29.653,55.68,527.422,24.65,1191.362,9.1,3.582,-3.519,-14.673,402.301,3409.306,159.34,8607.794,58.821,25.883,6.86,2.47,4.118,5.707,144.307,1248.481,58.35,3087.655,21.54,9.284,0.09,0.672,748.729,320.518,14.98,16020.129,0.0,,,,5.53,48.172,13.959,5.59,0.02,-9.056,-1.39,119.606,0.428,298.664,2.064,0.007,0.898,5796.078,47134837.0,1554.292,-7.321,-20.38,257.994,2160.825,100.99,5520.139,37.281,16.599,18.115,5.738,37.411,323.086,15.1,800.471,5.574,2.407,3.924,4.964,131.46,1190.711,55.65,2812.777,20.543,8.458
FRA,France,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,2.35097,48.8566,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,547557.0,4.13,1.356,524.823,34.182,132.658,8.64,1.527,1.272,68.536,-21.863,-20.827,1142.841,74.433,55.888,3.64,,,,,0.643,2.77,508.02,565.69,-2.126,-58.348,41252.443,,-1.404,-19.708,821.437,53.5,21255.973,1384.396,9.457,51.527,1.923,8.237,436.62,603.565,39.31,6703.863,,,,,6.949,16.251,2728870246705.88,40578.6442850534,3300063763854.41,49072.3638300842,38.77,-12.665,-20.118,138.737,873.794,56.91,2130.162,10.06,5.164,-2.881,-38.64,1302.367,7864.15,512.19,19996.503,90.543,48.473,-57.67,-11.352,-3.73,-38.278,988.04,6126.388,399.01,15170.335,70.535,36.774,-0.808,-7.118,873.341,161.984,10.55,13409.269,,,,,1.865,32.505,26.604,9.25,0.61,1.462,0.383,142.024,9.366,408.483,1.635,0.108,0.99,8685.588,67248926.0,2686.761,-0.115,-0.362,314.327,1737.762,113.18,4826.168,20.007,11.699,12.414,3.212,29.089,187.779,12.23,446.631,2.162,1.083,20.879,14.805,85.715,534.165,34.79,1316.069,6.15,3.19
GBR,United Kingdom,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,-0.126236,51.5002,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,241930.0,27.847,4.154,282.406,19.071,552.198,37.29,11.593,0.889,266.159,-31.467,-27.746,894.847,60.429,102.028,6.89,-14.426,-2.957,259.735,17.54,2.142,2.815,342.82,321.65,-2.767,-61.083,31784.327,,-3.845,-67.561,2147.04,144.99,25022.676,1689.786,45.077,78.726,-2.812,-22.367,773.033,1933.654,130.58,11447.236,-2.899,-11.801,5854.454,395.352,40.597,36.015,2878673912414.44,43070.4983595888,3277751294222.3,49041.4635475451,85.61,8.616,1.166,14.696,87.813,5.93,217.619,1.844,0.685,1.439,6.478,456.617,2616.016,176.66,6761.677,54.923,21.274,21.17,6.175,-13.966,-22.585,139.124,831.924,56.18,2060.171,17.466,6.482,-1.997,-17.448,856.322,111.358,7.52,12680.593,1.862,11.017,8924.011,602.64,2.338,39.896,92.432,37.3,0.01,6.369,5.535,552.346,0.148,1368.745,11.596,0.003,4.306,4763.056,66836327.0,2146.401,10.076,29.063,317.493,1784.092,120.48,4701.506,37.457,14.792,1.059,0.335,31.988,191.322,12.92,473.684,4.017,1.49,12.637,17.873,159.307,952.611,64.33,2359.051,20.0,7.422
GRC,Greece,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,23.7166,37.9792,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,128900.0,,,,,38.192,0.4,0.824,,445.428,13.295,7.07,5752.249,60.246,1157.212,12.12,19.947,9.917,5693.716,59.633,24.959,18.183,58.5,48.56,5.372,16.892,31635.945,,6.219,16.938,3101.174,32.48,27621.587,289.293,66.886,87.311,9.784,4.619,51.825,1384.453,14.5,4948.201,0.0,,,,29.86,15.641,205144152830.847,19133.7577636254,325467199371.978,30356.2663953863,21.63,-31.001,-4.425,9.849,380.008,3.98,940.42,8.196,2.973,-0.825,-0.331,39.804,1535.31,16.08,3800.463,33.114,12.013,9.94,16.991,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.053,5.25,177.223,559.51,5.86,16921.137,0.0,,,,12.068,53.487,0.996,0.4,0.0,27.534,0.215,38.192,0.0,95.05,0.824,0.0,0.3,4636.485,10721582.0,331.338,-0.825,-0.331,39.804,1535.31,16.08,3800.463,33.114,12.013,16.396,1.545,10.966,422.974,4.43,1047.024,9.123,3.31,14.909,2.335,17.993,694.136,7.27,1717.969,14.971,5.43
HUN,Hungary,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,19.0408,47.4984,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,91260.0,,,,,230.261,2.23,6.522,,254.168,-13.436,-3.314,2204.653,21.351,416.121,4.03,-21.849,-3.23,1193.05,11.554,11.787,7.846,46.77,34.19,1.305,3.505,28100.379,,-0.037,-0.081,1362.977,13.2,22496.365,217.87,38.608,80.057,2.303,2.216,98.44,898.326,8.7,10164.515,0.0,,,,25.446,36.172,163526491433.29,16735.6597794761,327479221871.952,33514.9417935891,8.69,-1.715,-0.009,0.542,22.716,0.22,55.995,0.643,0.199,7.168,3.474,51.939,2167.341,20.99,5362.974,61.392,19.085,12.58,26.898,3.146,1.23,40.333,1682.038,16.29,4164.582,47.646,14.82,1.048,1.017,98.079,48.53,0.47,10127.197,0.0,,,,1.375,36.039,5.552,2.25,0.02,-3.26,-0.187,232.326,2.065,573.244,6.581,0.058,2.04,3530.318,9771141.0,272.143,23.964,2.244,11.606,485.303,4.7,1198.391,13.747,4.265,137.119,2.144,3.707,154.884,1.5,382.759,4.387,1.362,19.656,0.297,1.805,75.377,0.73,186.394,2.135,0.663
IDN,Indonesia,Asia,Eastern and South-Eastern Asia,South-East Asia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,106.83,-6.19752,Asia,Eastern and South-Eastern Asia,South-East Asia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Other Entities,2019,1877519.0,69.163,24.239,219.071,59.286,53.025,14.35,5.147,2.466,662.578,20.28,159.903,3504.399,948.379,644.765,174.49,10.468,400.129,15603.106,4222.599,62.582,39.455,280.5,278.82,7.238,162.229,8882.066,,6.489,138.122,914.141,247.39,8375.437,2266.607,88.727,94.296,-1.366,-6.083,439.203,230.281,62.32,1622.918,-7.168,-52.182,2497.304,675.834,22.351,18.272,1119091259074.62,4135.20153132694,3331807553957.09,12311.5032732923,184.74,-2.035,-0.851,40.972,61.155,16.55,151.396,5.936,1.705,21.333,24.107,137.109,116.131,31.428,506.637,11.272,5.704,1.68,0.599,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.754,-15.698,879.024,39.095,10.58,3248.12,-3.403,-15.644,1640.715,444.02,3.795,36.569,35.524,14.346,,-0.258,-0.092,53.011,,131.266,5.145,,1.478,1030.28,270625567.0,2403.714,21.333,24.107,137.109,116.131,31.428,506.637,11.272,5.704,169.139,0.084,0.134,0.185,0.05,0.494,0.018,0.006,155.465,0.726,1.194,1.774,0.48,4.41,0.172,0.05
IND,India,Asia,Central and Southern Asia,South-East Asia,South Asia,South Asia,Lower middle income,IBRD,77.225,28.6353,Asia,Central and Southern Asia,South-East Asia,South Asia,South Asia,Lower middle income,IBRD,Other Entities,2019,2973190.0,15.233,3.11,17.215,23.524,21.714,29.67,1.85,0.25,637.414,0.054,2.769,3780.705,5166.018,866.887,1184.53,-1.584,-56.333,2560.719,3499.012,73.872,54.874,1599.78,1603.48,2.275,209.418,6889.742,,1.195,100.731,919.96,1257.05,6244.738,8532.921,78.395,90.638,1.998,11.604,592.503,49.377,67.47,433.618,-2.135,-5.869,196.909,269.06,4.208,6.294,2870504096717.77,2100.75146060805,9562005607605.22,6997.86398824082,1022.08,15.502,53.846,401.185,118.573,162.02,293.604,10.104,4.261,14.067,108.688,881.353,253.53,346.427,645.01,21.605,9.362,-3.7,-0.231,15.226,14.777,111.833,33.05,45.16,81.844,2.816,1.188,3.213,86.358,2774.393,3.696,5.05,2030.415,-4.881,-22.448,320.174,437.491,0.315,29.47,73.462,29.667,,8.572,5.8,21.712,,53.763,1.85,,0.78,1173.492,1366417756.0,9414.266,13.9,93.911,769.52,220.477,301.264,563.166,18.788,8.174,26.88,24.272,114.569,33.862,46.27,83.846,2.886,1.217,4.592,6.884,156.78,46.333,63.31,114.738,3.948,1.665
IRL,Ireland,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,-6.26749,53.3441,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,68890.0,,,,,174.091,0.85,2.767,,335.286,-28.432,-4.664,2404.67,11.741,104.455,0.51,,,,,1.66,6.373,31.36,30.72,-0.209,-0.386,37730.27,,-2.919,-4.597,3875.066,18.92,31310.07,152.871,61.589,82.984,2.022,1.053,53.159,3258.578,15.91,10887.642,,,,,51.79,28.856,399122063504.148,80886.6157387104,431161114188.208,87379.6929656668,10.3,27.262,0.47,2.195,182.284,0.89,449.641,2.897,1.192,15.072,3.821,29.169,2416.796,11.8,5974.121,38.411,15.834,0.64,2.041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.108,-0.986,87.972,512.033,2.5,18017.757,,,,,8.138,47.754,2.11,0.85,0.0,0.071,0.002,174.091,0.0,432.147,2.767,0.0,1.145,6291.861,4934340.0,184.218,15.072,3.821,29.169,2416.796,11.8,5974.121,38.411,15.834,27.71,0.011,0.053,8.193,0.04,10.828,0.13,0.029,15.542,3.337,24.81,2052.228,10.02,5081.504,32.617,13.468
IRN,Iran,Asia,Central and Southern Asia,Eastern Mediterranean,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,51.4447,35.6878,Asia,Central and Southern Asia,Eastern Mediterranean,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Other Entities,2019,1628760.0,,,,,0.241,0.02,0.006,,490.496,3.927,0.781,249.257,20.667,8.081,0.67,0.0,,,,0.211,0.621,314.13,317.76,4.858,154.079,40112.955,,3.574,111.66,3386.646,280.8,39028.596,3236.013,88.369,97.297,1.746,38.339,2234.455,2389.467,198.12,26949.123,4.054,94.069,29117.138,2414.215,62.349,67.183,258245497664.394,3114.62275284063,1070680601853.69,12913.1628381469,155.86,153.315,43.407,71.719,362.665,30.07,864.982,9.463,2.156,89.319,42.419,89.911,445.764,36.96,1084.391,11.631,2.703,-3.63,-1.156,-7.238,-1.239,15.874,70.796,5.87,191.453,1.847,0.477,7.986,72.54,980.888,989.098,82.01,11830.217,-27.852,-708.298,22129.042,1834.805,25.809,29.492,0.061,0.02,0.0,-0.369,-0.0,0.241,0.0,0.73,0.006,0.0,0.002,3832.41,82913893.0,3325.921,143.71,43.658,74.037,374.967,31.09,892.937,9.784,2.226,27.707,0.153,0.704,5.307,0.44,8.491,0.138,0.021,6.768,0.098,1.553,6.754,0.56,18.735,0.176,0.047
ITA,Italy,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,12.4823,41.8955,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,297730.0,-41.426,-6.619,154.573,9.359,322.873,19.55,6.71,0.523,352.051,-24.406,-25.033,1280.501,77.534,311.147,18.84,,,,,6.466,4.33,329.49,291.35,-1.899,-34.666,29575.646,,-2.003,-30.544,2898.757,175.52,24681.941,1494.494,60.244,83.454,2.278,15.765,707.906,2340.211,141.7,11691.257,-10.945,-5.679,763.211,46.212,48.636,39.53,2009383867307.45,33641.6337513622,2648041042436.58,44334.2003275855,102.57,-5.405,-6.559,114.789,764.986,46.32,1895.766,15.898,6.41,-1.372,-4.123,296.316,1912.962,115.83,4893.729,39.756,16.546,38.14,11.575,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.913,-21.276,709.052,247.398,14.98,11710.182,-8.66,-4.717,821.795,49.76,5.142,39.594,63.484,25.62,6.07,1.128,0.708,423.121,100.248,1048.455,8.794,2.083,3.545,4811.719,59729081.0,1790.808,-1.372,-4.123,296.316,1912.962,115.83,4893.729,39.756,16.546,4.184,2.356,58.659,391.246,23.69,968.766,8.131,3.276,13.61,5.993,50.025,333.608,20.2,826.168,6.933,2.793
JPN,Japan,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,,High income,Not classified,139.77,35.67,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,,High income,Not classified,Other Entities,2019,364500.0,,,,,249.093,31.6,3.2,,479.696,-1.731,-24.004,10740.909,1362.594,2380.02,301.93,-27.131,-1.822,38.571,4.893,30.575,26.704,987.5,987.5,-2.313,-120.828,40222.238,,-3.699,-171.972,5611.606,711.89,35295.567,4477.606,72.09,87.751,-6.557,-75.87,1081.212,2817.272,357.4,8522.86,0.0,,,,36.192,21.189,5148781948478.17,40777.6086970512,5380978414306.42,42616.5711388733,473.7,-9.54,-19.231,182.35,629.196,79.82,1437.408,8.083,3.574,9.004,51.226,620.141,2172.547,275.61,4888.374,27.91,12.153,0.0,0.0,33.169,40.482,162.529,517.735,65.68,1281.169,6.651,3.185,-3.424,-72.099,2033.797,414.314,52.56,16031.798,0.0,,,,5.323,39.858,79.626,53.49,21.89,6.325,4.736,421.645,172.552,627.665,5.417,2.217,1.56,7784.153,126264931.0,5102.605,2.404,10.745,457.611,1654.812,209.93,3607.206,21.259,8.968,15.9,24.546,178.924,543.511,68.95,1410.403,6.982,3.507,4.327,0.693,16.711,60.46,7.67,131.729,0.777,0.328
KOR,South Korea,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,,High income,Not classified,126.957,37.5323,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,,High income,Not classified,Other Entities,2019,97520.0,2.415,0.192,158.857,8.138,278.378,14.26,2.546,0.239,486.36,-5.198,-52.383,18650.286,955.366,4492.895,230.15,-9.667,-0.638,116.409,5.963,41.089,28.081,560.12,560.12,-1.461,-50.446,66415.723,,-2.856,-86.731,7532.213,385.84,57593.248,2950.233,68.885,86.716,-3.062,-17.702,560.338,2886.658,147.87,10938.706,,,,,26.4,16.47,1651422932447.77,31902.4169048194,2225803913777.2,42998.3882447659,272.42,-17.295,-1.444,6.905,53.684,2.75,134.804,0.491,0.203,8.73,36.286,451.937,3402.224,174.28,8822.527,31.115,13.284,0.0,0.0,8.888,29.493,361.304,2709.793,138.81,7053.235,24.782,10.62,-1.147,-16.647,1434.526,152.659,7.82,28004.256,,,,,1.396,42.165,36.775,17.02,2.76,-4.563,-1.758,332.258,53.88,717.897,3.039,0.493,1.081,10934.436,51764822.0,3402.167,8.103,6.793,90.633,692.431,35.47,1769.293,6.333,2.664,40.616,9.295,32.181,254.171,13.02,628.224,2.325,0.946,8.293,0.508,6.634,52.318,2.68,129.51,0.478,0.195
