,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations
83,GBR,United Kingdom,Europe,Europe,Europe and Central Asia,Europe and Northern America
84,GEO,Georgia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
85,GGY,Guernsey,Europe,,,
86,GHA,Ghana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
87,GIB,Gibraltar,Europe,,Europe and Central Asia,Europe and Northern America
88,GIN,Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
89,GLP,Guadeloupe,North America,,,Latin America and Caribbean
90,GMB,Gambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
91,GNB,Guinea-Bissau,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
92,GNQ,Equatorial Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
93,GRC,Greece,Europe,Europe,Europe and Central Asia,Europe and Northern America
94,GRD,Grenada,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
95,GRL,Greenland,North America,,Europe and Central Asia,Europe and Northern America
96,GTM,Guatemala,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
97,GUF,French Guiana,South America,,,Latin America and Caribbean
98,GUM,Guam,Oceania,,East Asia and Pacific,Oceania
99,GUY,Guyana,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
100,HKG,Hong Kong,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia
101,HMD,Heard Island and McDonald Islands,Antarctica,,,Oceania
102,HND,Honduras,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
103,HRV,Croatia,Europe,Europe,Europe and Central Asia,Europe and Northern America
104,HTI,Haiti,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
105,HUN,Hungary,Europe,Europe,Europe and Central Asia,Europe and Northern America
106,IDN,Indonesia,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
107,IMN,Isle of Man,Europe,,Europe and Central Asia,Europe and Northern America
108,IND,India,Asia,South-East Asia,South Asia,Central and Southern Asia
109,IOT,British Indian Ocean Territory,Asia,,,
110,IRL,Ireland,Europe,Europe,Europe and Central Asia,Europe and Northern America
111,IRN,Iran,Asia,Eastern Mediterranean,Middle East and North Africa,Central and Southern Asia
112,IRQ,Iraq,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
113,ISL,Iceland,Europe,Europe,Europe and Central Asia,Europe and Northern America
114,ISR,Israel,Asia,Europe,Middle East and North Africa,Northern Africa and Western Asia
115,ITA,Italy,Europe,Europe,Europe and Central Asia,Europe and Northern America
116,JAM,Jamaica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
117,JEY,Jersey,Europe,,,
118,JOR,Jordan,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
119,JPN,Japan,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
120,KAZ,Kazakhstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
121,KEN,Kenya,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
122,KGZ,Kyrgyzstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
123,KHM,Cambodia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
124,KIR,Kiribati,Oceania,Western Pacific,East Asia and Pacific,Oceania
125,KNA,Saint Kitts and Nevis,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
126,KOR,Republic of Korea,,,,
127,KOR,South Korea,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
128,KWT,Kuwait,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
129,LAO,Lao People's Democratic Republic,,,,
130,LAO,Laos,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
131,LBN,Lebanon,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
132,LBR,Liberia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
133,LBY,Libya,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
134,LBY,Libyan Arab Jamahiriya,,,,
135,LCA,Saint Lucia,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
136,LIE,Liechtenstein,Europe,,Europe and Central Asia,Europe and Northern America
137,LKA,Sri Lanka,Asia,South-East Asia,South Asia,Central and Southern Asia
138,LSO,Lesotho,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
139,LTU,Lithuania,Europe,Europe,Europe and Central Asia,Europe and Northern America
140,LUX,Luxembourg,Europe,Europe,Europe and Central Asia,Europe and Northern America
141,LVA,Latvia,Europe,Europe,Europe and Central Asia,Europe and Northern America
142,MAC,Macao,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia
143,MAC,Macau,,,,
144,MAF,Saint Martin (French part),North America,,Latin America and Caribbean,Latin America and Caribbean
145,MAR,Morocco,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
146,MCO,Monaco,Europe,Europe,Europe and Central Asia,Europe and Northern America
147,MDA,Moldova,Europe,Europe,Europe and Central Asia,Europe and Northern America
148,MDG,Madagascar,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
149,MDV,Maldives,Asia,South-East Asia,South Asia,Central and Southern Asia
150,MEX,Mexico,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
151,MHL,Marshall Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania
152,MKD,North Macedonia,Europe,Europe,Europe and Central Asia,Europe and Northern America
153,MLI,Mali,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
154,MLT,Malta,Europe,Europe,Middle East and North Africa,Europe and Northern America
155,MMR,Myanmar,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
156,MNE,Montenegro,Europe,Europe,Europe and Central Asia,Europe and Northern America
157,MNG,Mongolia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
158,MNP,Northern Mariana Islands,Oceania,,East Asia and Pacific,Oceania
159,MOZ,Mozambique,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
160,MRT,Mauritania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
161,MSR,Montserrat,North America,,,Latin America and Caribbean
162,MTQ,Martinique,North America,,,Latin America and Caribbean
163,MUS,Mauritius,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
164,MWI,Malawi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
165,MYS,Malaysia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
166,MYT,Mayotte,Africa,,,Sub-Saharan Africa
167,NAM,Namibia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
168,NCL,New Caledonia,Oceania,,East Asia and Pacific,Oceania
169,NER,Niger,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
170,NFK,Norfolk Island,Oceania,,,Oceania
171,NGA,Nigeria,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
172,NIC,Nicaragua,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
173,NIU,Niue,Oceania,Western Pacific,,Oceania
174,NLD,Netherlands,Europe,Europe,Europe and Central Asia,Europe and Northern America
175,NOR,Norway,Europe,Europe,Europe and Central Asia,Europe and Northern America
176,NPL,Nepal,Asia,South-East Asia,South Asia,Central and Southern Asia
177,NRU,Nauru,Oceania,Western Pacific,East Asia and Pacific,Oceania
178,NZL,New Zealand,Oceania,Western Pacific,East Asia and Pacific,Oceania
179,OMN,Oman,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
180,OWID_AFR,Africa,,,,
181,OWID_EU27,European Union (27),,,,
182,OWID_EUR,Europe,,,,
183,OWID_KOS,Kosovo,Europe,,Europe and Central Asia,Europe and Northern America
184,OWID_WRL,World,,,,
185,PAK,Pakistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia
186,PAN,Panama,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
187,PCN,Pitcairn,Oceania,,,Oceania
188,PER,Peru,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
189,PHL,Philippines,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
190,PLW,Palau,Oceania,Western Pacific,East Asia and Pacific,Oceania
191,PNG,Papua New Guinea,Oceania,Western Pacific,East Asia and Pacific,Oceania
192,POL,Poland,Europe,Europe,Europe and Central Asia,Europe and Northern America
193,PRI,Puerto Rico,North America,,Latin America and Caribbean,Latin America and Caribbean
194,PRK,Democratic People's Republic of Korea,,,,
195,PRK,North Korea,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
196,PRT,Portugal,Europe,Europe,Europe and Central Asia,Europe and Northern America
197,PRY,Paraguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
198,PSE,Palestine,Asia,,Middle East and North Africa,Northern Africa and Western Asia
199,PSE,Palestinian Territory,,,,
200,PYF,French Polynesia,Oceania,,East Asia and Pacific,Oceania
201,QAT,Qatar,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
202,REU,Reunion,Africa,,,Sub-Saharan Africa
203,REU,Réunion,,,,
204,ROU,Romania,Europe,Europe,Europe and Central Asia,Europe and Northern America
205,RUS,Russia,Europe,Europe,Europe and Central Asia,Europe and Northern America
206,RUS,Russian Federation,,,,
207,RWA,Rwanda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
208,SAU,Saudi Arabia,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
209,SDN,Sudan,Africa,Eastern Mediterranean,Sub-Saharan Africa,Northern Africa and Western Asia
210,SEN,Senegal,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
211,SGP,Singapore,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
212,SGS,South Georgia and the South Sandwich Islands,South America,,,Latin America and Caribbean
