,StateCode,Year,WoodProduction,Solar,Wind,Geothermal,Hydropower,Wood,Waste,Biodiesel,BiodieselLoss,FuelEthanol,FuelEthanolLoss,Nuclear,Coal,NaturalGas,Petroleum,ElectricPower,Transportation,Industrial,Commercial,Residential,ElectricLoss,DensifiedBiomassExport,ElectricImport,CoalCokeImport,NetInterstateImport,ElectricExport,CoalCokeExport,NetInterstateExport,BiodieselSum,FuelEthanolSum,Biofuel,WoodWaste,Biomass,NoncombustibleRenewable,Renewable,FossilFuel,Nonrenewable,Clean,Total,Consumption,Biodiesel->Transportation,BiodieselLoss->Industrial,Coal->Transportation,Coal->Residential,Coal->Industrial,Coal->ElectricPower,Coal->Commercial,CoalCokeImport->Industrial,ElectricImport->ElectricPower,ElectricPower->Transportation,ElectricPower->Residential,ElectricPower->Industrial,ElectricPower->ElectricLoss,ElectricPower->ElectricExport,ElectricPower->Commercial,FuelEthanol->Transportation,FuelEthanol->Industrial,FuelEthanol->Commercial,FuelEthanolLoss->Industrial,Geothermal->Residential,Geothermal->Industrial,Geothermal->ElectricPower,Geothermal->Commercial,Hydropower->Industrial,Hydropower->ElectricPower,Hydropower->Commercial,Industrial->CoalCokeExport,NaturalGas->Transportation,NaturalGas->Residential,NaturalGas->Industrial,NaturalGas->ElectricPower,NaturalGas->Commercial,Nuclear->ElectricPower,Petroleum->Transportation,Petroleum->Residential,Petroleum->Industrial,Petroleum->ElectricPower,Petroleum->Commercial,Solar->Residential,Solar->Industrial,Solar->ElectricPower,Solar->Commercial,Waste->Industrial,Waste->ElectricPower,Waste->Commercial,Wind->Industrial,Wind->ElectricPower,Wind->Commercial,Wood->Residential,Wood->Industrial,Wood->ElectricPower,Wood->Commercial,WoodProduction->Wood,WoodProduction->DensifiedBiomassExport,NetInterstateImport->ElectricPower,ElectricPower->NetInterstateExport
659,GA,2019,220432.0,22305.0,0.0,315.0,35230.0,200909.0,6568.0,2287.0,15.0,40434.0,5918.0,350759.0,273109.0,787386.0,1007518.0,893591.0,940444.0,562043.0,240171.0,341471.0,878950.0,19523.0,0.0,0.0,230327.0,0.0,0.0,-230327.0,2302.0,46352.0,48654.0,207477.0,256131.0,57850.0,313981.0,2068013.0,2418772.0,664740.0,2732753.0,2977720.0,2287.0,15.0,0.0,0.0,7834.0,265275.0,0.0,0.0,0.0,561.0,202439.0,110526.0,878950.0,0.0,161769.0,39126.0,447.0,861.0,5918.0,304.0,6.0,0.0,4.0,164.0,35066.0,0.0,0.0,7635.0,126519.0,160130.0,438067.0,55033.0,350759.0,890835.0,8851.0,85278.0,863.0,21691.0,515.0,2177.0,19214.0,398.0,3520.0,3045.0,3.0,0.0,0.0,0.0,2842.0,186027.0,11629.0,411.0,220432.0,19523.0,230327.0,-230327.0
719,HI,2019,94.0,14322.0,4714.0,8.0,842.0,94.0,4812.0,1027.0,7.0,4033.0,0.0,0.0,14179.0,229.0,263239.0,88915.0,173920.0,34354.0,24565.0,18002.0,56662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,4033.0,5067.0,4906.0,9973.0,19886.0,29859.0,277647.0,277647.0,29859.0,307506.0,339756.0,1027.0,7.0,0.0,0.0,0.0,14179.0,0.0,0.0,0.0,0.0,9416.0,12403.0,56662.0,0.0,10433.0,3806.0,107.0,119.0,0.0,0.0,2.0,0.0,6.0,526.0,315.0,0.0,0.0,0.0,40.0,6.0,0.0,182.0,0.0,169087.0,495.0,21201.0,66022.0,6435.0,8028.0,33.0,2388.0,3873.0,0.0,1297.0,3514.0,0.0,4714.0,0.0,23.0,67.0,0.0,3.0,94.0,0.0,0.0,0.0
779,IA,2019,8287.0,1604.0,234246.0,1281.0,7091.0,8287.0,12031.0,8414.0,603.0,14879.0,220774.0,54671.0,266368.0,432145.0,426084.0,620259.0,304451.0,720069.0,119604.0,152419.0,337770.0,0.0,0.0,0.0,-54165.0,0.0,0.0,54165.0,9017.0,235653.0,244670.0,20318.0,264988.0,244222.0,509210.0,1124597.0,1179268.0,563881.0,1688478.0,1916802.0,8414.0,603.0,0.0,0.0,42803.0,221328.0,2237.0,0.0,0.0,0.0,49456.0,82703.0,337770.0,0.0,42000.0,14328.0,321.0,230.0,220774.0,538.0,0.0,0.0,744.0,0.0,7091.0,0.0,0.0,12608.0,70264.0,245960.0,46238.0,57075.0,54671.0,269101.0,26037.0,115924.0,788.0,14235.0,539.0,46.0,137.0,882.0,9710.0,1630.0,691.0,0.0,234211.0,35.0,5585.0,1226.0,0.0,1475.0,8287.0,0.0,-54165.0,54165.0
839,ID,2019,36207.0,5500.0,22715.0,2354.0,92017.0,36207.0,1471.0,890.0,0.0,6968.0,3330.0,0.0,2364.0,133183.0,182305.0,80663.0,166625.0,113133.0,53043.0,83621.0,146940.0,0.0,0.0,0.0,74057.0,0.0,0.0,-74057.0,890.0,10298.0,11188.0,37678.0,48866.0,122586.0,171452.0,317852.0,317852.0,171452.0,489304.0,497085.0,890.0,0.0,0.0,0.0,2364.0,0.0,0.0,0.0,0.0,0.0,29674.0,30188.0,146940.0,0.0,21976.0,6639.0,209.0,120.0,3330.0,131.0,758.0,851.0,613.0,0.0,92017.0,0.0,0.0,7698.0,31834.0,39967.0,32011.0,21673.0,0.0,151397.0,5721.0,19101.0,0.0,6086.0,465.0,36.0,4946.0,54.0,390.0,845.0,237.0,0.0,22715.0,0.0,15796.0,16792.0,1334.0,2285.0,36207.0,0.0,74057.0,-74057.0
899,IL,2019,9255.0,3504.0,128763.0,2042.0,1103.0,9255.0,9841.0,21941.0,237.0,39229.0,74754.0,1030996.0,591909.0,1178862.0,1238113.0,2225325.0,1004182.0,855099.0,449264.0,640650.0,1009325.0,0.0,0.0,0.0,-372027.0,0.0,0.0,372027.0,22178.0,113983.0,136161.0,19096.0,155257.0,135412.0,290669.0,3008884.0,4039880.0,1321665.0,4330549.0,5174520.0,21941.0,237.0,0.0,0.0,79478.0,510424.0,2007.0,0.0,0.0,1945.0,154292.0,147571.0,1009325.0,0.0,168139.0,37568.0,729.0,932.0,74754.0,2042.0,0.0,0.0,0.0,0.0,1093.0,10.0,0.0,29465.0,447793.0,274089.0,174717.0,252797.0,1030996.0,913263.0,28259.0,272563.0,556.0,23473.0,2016.0,3.0,526.0,960.0,3575.0,6266.0,0.0,0.0,128721.0,42.0,6250.0,2101.0,0.0,904.0,9255.0,0.0,-372027.0,372027.0
959,IN,2019,20411.0,4160.0,55354.0,4647.0,2280.0,20411.0,15754.0,4376.0,156.0,24629.0,53292.0,0.0,821545.0,933943.0,712604.0,837364.0,572436.0,974221.0,196881.0,296283.0,737675.0,0.0,0.0,0.0,124345.0,0.0,0.0,-124345.0,4532.0,77921.0,82453.0,36165.0,118618.0,66441.0,185059.0,2468092.0,2468092.0,185059.0,2653151.0,2877185.0,4376.0,156.0,0.0,0.0,157913.0,662235.0,1397.0,0.0,0.0,70.0,113446.0,154621.0,737675.0,0.0,80242.0,23769.0,359.0,500.0,53292.0,3831.0,0.0,0.0,816.0,0.0,2280.0,0.0,0.0,11570.0,149640.0,447137.0,233131.0,92467.0,0.0,532651.0,15809.0,146985.0,1347.0,15813.0,629.0,26.0,2855.0,650.0,8120.0,4508.0,3125.0,0.0,55354.0,0.0,12928.0,5612.0,0.0,1870.0,20411.0,0.0,124345.0,-124345.0
1019,KS,2019,4768.0,471.0,188105.0,974.0,182.0,4768.0,2947.0,2516.0,44.0,10795.0,27192.0,96565.0,197779.0,316866.0,351119.0,588424.0,284333.0,308402.0,105178.0,131589.0,293658.0,0.0,0.0,0.0,-77165.0,0.0,0.0,77165.0,2560.0,37987.0,40547.0,7715.0,48262.0,189732.0,237994.0,865764.0,962329.0,334559.0,1200323.0,1417926.0,2516.0,44.0,0.0,0.0,1824.0,195954.0,0.0,0.0,0.0,0.0,46508.0,39622.0,293658.0,0.0,54307.0,10277.0,318.0,201.0,27192.0,302.0,0.0,0.0,672.0,0.0,182.0,0.0,0.0,25229.0,71071.0,148695.0,28762.0,43108.0,96565.0,246310.0,9396.0,88389.0,1009.0,6014.0,234.0,0.0,101.0,136.0,2215.0,731.0,0.0,0.0,187955.0,150.0,4078.0,101.0,0.0,590.0,4768.0,0.0,-77165.0,77165.0
1079,KY,2019,34484.0,827.0,0.0,2712.0,37682.0,34484.0,2908.0,3066.0,80.0,18045.0,1790.0,0.0,574502.0,356073.0,612015.0,635700.0,498205.0,404977.0,120502.0,163017.0,536345.0,0.0,0.0,0.0,78862.0,0.0,0.0,-78862.0,3146.0,19835.0,22981.0,37392.0,60373.0,41221.0,101594.0,1542590.0,1542590.0,101594.0,1644184.0,1822401.0,3066.0,80.0,0.0,0.0,17996.0,556349.0,157.0,0.0,0.0,0.0,90667.0,99497.0,536345.0,0.0,66914.0,17580.0,190.0,274.0,1790.0,1860.0,0.0,0.0,852.0,0.0,37682.0,0.0,0.0,14956.0,51150.0,132825.0,117927.0,39215.0,0.0,462603.0,8842.0,128190.0,973.0,11407.0,219.0,11.0,401.0,196.0,1678.0,1229.0,0.0,0.0,0.0,0.0,10278.0,22720.0,0.0,1487.0,34484.0,0.0,78862.0,-78862.0
1139,LA,2019,102894.0,2251.0,0.0,1842.0,12161.0,96202.0,14520.0,6143.0,0.0,17428.0,0.0,145993.0,90701.0,1979832.0,1733221.0,440946.0,616103.0,2892261.0,126418.0,148089.0,511667.0,6692.0,0.0,0.0,194238.0,0.0,0.0,-194238.0,6143.0,17428.0,23571.0,110722.0,134293.0,16254.0,150547.0,3803754.0,3949747.0,296540.0,4100294.0,4223817.0,6143.0,0.0,0.0,0.0,3213.0,87487.0,0.0,0.0,0.0,41.0,105724.0,129132.0,511667.0,0.0,82858.0,16899.0,257.0,272.0,0.0,948.0,42.0,0.0,852.0,0.0,12161.0,0.0,0.0,164378.0,36793.0,1392872.0,352107.0,33689.0,145993.0,428643.0,1965.0,1258045.0,36049.0,8519.0,2090.0,1.0,13.0,146.0,13147.0,1373.0,0.0,0.0,0.0,0.0,568.0,95552.0,0.0,82.0,102894.0,6692.0,194238.0,-194238.0
1199,MA,2019,16217.0,29511.0,1877.0,859.0,8687.0,16217.0,16923.0,1583.0,1.0,23883.0,0.0,22734.0,71.0,441363.0,577088.0,-149221.0,479274.0,103073.0,246900.0,308877.0,329775.0,0.0,41.0,0.0,327058.0,0.0,0.0,-327058.0,1584.0,23883.0,25467.0,33140.0,58607.0,40934.0,99541.0,1018522.0,1041256.0,122275.0,1140797.0,988903.0,1583.0,1.0,0.0,0.0,71.0,0.0,0.0,0.0,41.0,1172.0,65901.0,21638.0,329775.0,0.0,86449.0,23074.0,291.0,518.0,0.0,52.0,0.0,0.0,807.0,0.0,8638.0,49.0,0.0,10289.0,139334.0,50293.0,116134.0,125313.0,22734.0,443156.0,86383.0,26761.0,1068.0,19720.0,7063.0,843.0,10272.0,11332.0,382.0,15508.0,1033.0,17.0,1649.0,211.0,10142.0,2775.0,1832.0,1467.0,16217.0,0.0,327058.0,-327058.0
1259,MD,2019,10188.0,13115.0,4633.0,570.0,19485.0,10188.0,7556.0,1047.0,0.0,23298.0,0.0,156765.0,77301.0,311173.0,473731.0,106364.0,459469.0,74136.0,202998.0,209291.0,406749.0,0.0,0.0,0.0,253782.0,0.0,0.0,-253782.0,1047.0,23298.0,24345.0,17744.0,42089.0,37803.0,79892.0,862205.0,1018970.0,236657.0,1098862.0,1052258.0,1047.0,0.0,0.0,0.0,10154.0,67148.0,0.0,0.0,0.0,1963.0,93945.0,12687.0,406749.0,0.0,98584.0,22448.0,209.0,641.0,0.0,570.0,0.0,0.0,0.0,0.0,19485.0,0.0,0.0,26504.0,85522.0,19160.0,100208.0,79779.0,156765.0,407508.0,17648.0,27793.0,1006.0,19775.0,6098.0,320.0,4247.0,2451.0,511.0,6655.0,390.0,0.0,4633.0,0.0,5507.0,3302.0,0.0,1378.0,10188.0,0.0,253782.0,-253782.0
1319,ME,2019,91175.0,897.0,22208.0,72.0,31162.0,91175.0,2848.0,727.0,1.0,5507.0,0.0,0.0,2160.0,46291.0,166489.0,84240.0,106410.0,89438.0,46808.0,82198.0,58872.0,0.0,13840.0,0.0,472.0,124.0,0.0,-472.0,728.0,5507.0,6235.0,94023.0,100258.0,54339.0,154597.0,214940.0,214940.0,154597.0,369537.0,409094.0,727.0,1.0,0.0,0.0,449.0,1711.0,0.0,0.0,13840.0,0.0,16356.0,9519.0,58872.0,124.0,14154.0,5309.0,83.0,115.0,0.0,72.0,0.0,0.0,0.0,1003.0,30159.0,0.0,0.0,1201.0,3250.0,21800.0,9755.0,10285.0,0.0,99173.0,39848.0,9332.0,452.0,17684.0,551.0,0.0,63.0,283.0,519.0,1241.0,1088.0,0.0,22208.0,0.0,22120.0,46732.0,19124.0,3200.0,91175.0,0.0,472.0,-472.0
1379,MI,2019,92062.0,2758.0,51878.0,5193.0,14691.0,92062.0,19054.0,3410.0,18.0,37356.0,17355.0,343639.0,447823.0,1054421.0,887430.0,1237505.0,781164.0,500007.0,353082.0,554563.0,693522.0,0.0,20635.0,0.0,-103773.0,11609.0,0.0,103773.0,3428.0,54711.0,58139.0,111116.0,169255.0,74520.0,243775.0,2389674.0,2733313.0,587414.0,2977088.0,3426321.0,3410.0,18.0,0.0,0.0,50030.0,397792.0,0.0,0.0,20635.0,22.0,114287.0,101973.0,693522.0,11609.0,129181.0,36103.0,547.0,706.0,17355.0,4320.0,0.0,0.0,874.0,86.0,14606.0,0.0,0.0,29704.0,351305.0,189583.0,291575.0,192251.0,343639.0,711926.0,46509.0,95493.0,11046.0,22457.0,992.0,26.0,1262.0,477.0,6656.0,10634.0,1763.0,0.0,51878.0,0.0,37149.0,38239.0,11300.0,5374.0,92062.0,0.0,-103773.0,103773.0
1439,MN,2019,56206.0,12265.0,97642.0,1075.0,9404.0,56206.0,8843.0,19239.0,125.0,27116.0,63829.0,147280.0,205055.0,549117.0,628641.0,507401.0,502801.0,492039.0,219756.0,284829.0,400800.0,0.0,27241.0,0.0,47500.0,355.0,0.0,-47500.0,19364.0,90945.0,110309.0,65049.0,175358.0,120386.0,295744.0,1382813.0,1530093.0,443024.0,1825837.0,2006826.0,19239.0,125.0,0.0,0.0,18436.0,186532.0,87.0,0.0,27241.0,86.0,76047.0,74204.0,400800.0,355.0,78149.0,26104.0,563.0,450.0,63829.0,1075.0,0.0,0.0,0.0,860.0,8544.0,0.0,0.0,13575.0,151804.0,170556.0,94087.0,119097.0,147280.0,443797.0,34227.0,135308.0,570.0,14738.0,732.0,103.0,11121.0,310.0,2216.0,6063.0,564.0,0.0,97423.0,219.0,20944.0,25840.0,3280.0,6142.0,56206.0,0.0,47500.0,-47500.0
1499,MO,2019,24079.0,3534.0,25450.0,352.0,19733.0,24079.0,3946.0,3716.0,349.0,25689.0,13986.0,95961.0,584662.0,327097.0,624298.0,728678.0,566925.0,207031.0,192196.0,275678.0,562426.0,0.0,0.0,0.0,51406.0,0.0,0.0,-51406.0,4065.0,39675.0,43740.0,28025.0,71765.0,49069.0,120834.0,1536057.0,1632018.0,216795.0,1752852.0,1970508.0,3716.0,349.0,0.0,0.0,18364.0,566093.0,205.0,0.0,0.0,80.0,121779.0,44389.0,562426.0,0.0,102814.0,24896.0,324.0,469.0,13986.0,352.0,0.0,0.0,0.0,0.0,19733.0,0.0,0.0,8378.0,112843.0,66773.0,69801.0,69301.0,95961.0,529855.0,19822.0,59045.0,1205.0,14371.0,1397.0,54.0,878.0,1205.0,2983.0,963.0,0.0,0.0,25450.0,0.0,19484.0,764.0,0.0,3831.0,24079.0,0.0,51406.0,-51406.0
1559,MS,2019,55058.0,3007.0,0.0,958.0,0.0,46781.0,1563.0,4181.0,79.0,13574.0,0.0,115202.0,51028.0,580192.0,379579.0,650485.0,342707.0,308165.0,77321.0,94299.0,263841.0,8278.0,0.0,0.0,-109812.0,0.0,0.0,109812.0,4260.0,13574.0,17834.0,48344.0,66178.0,3965.0,70143.0,1010799.0,1126001.0,185345.0,1196144.0,1472977.0,4181.0,79.0,0.0,0.0,565.0,50463.0,0.0,0.0,0.0,0.0,63865.0,54572.0,263841.0,0.0,48583.0,13292.0,124.0,158.0,0.0,175.0,42.0,0.0,741.0,0.0,0.0,0.0,0.0,26896.0,22736.0,138198.0,371871.0,20492.0,115202.0,298339.0,5886.0,68168.0,137.0,7049.0,63.0,5.0,2870.0,69.0,1432.0,131.0,0.0,0.0,0.0,0.0,1573.0,44980.0,0.0,228.0,55058.0,8278.0,-109812.0,109812.0
1619,MT,2019,17743.0,489.0,21135.0,337.0,89090.0,17743.0,393.0,39.0,0.0,4684.0,0.0,0.0,159165.0,92553.0,177127.0,393096.0,116497.0,100551.0,51300.0,67461.0,110366.0,0.0,239.0,0.0,-113874.0,2945.0,0.0,113874.0,39.0,4684.0,4723.0,18136.0,22859.0,111051.0,133910.0,428845.0,428845.0,133910.0,562755.0,728905.0,39.0,0.0,0.0,0.0,3532.0,155593.0,40.0,0.0,239.0,0.0,18111.0,17255.0,110366.0,2945.0,16910.0,4503.0,125.0,56.0,0.0,123.0,70.0,0.0,144.0,0.0,89090.0,0.0,0.0,3470.0,25124.0,29088.0,5699.0,29174.0,0.0,108485.0,9906.0,48408.0,7443.0,2884.0,164.0,0.0,262.0,63.0,393.0,0.0,0.0,0.0,21135.0,0.0,14033.0,1680.0,0.0,2030.0,17743.0,0.0,-113874.0,113874.0
1679,NC,2019,113609.0,69062.0,4659.0,967.0,55084.0,93697.0,10433.0,2064.0,3.0,39540.0,0.0,437683.0,318154.0,569430.0,906471.0,1059022.0,824430.0,376530.0,258985.0,308235.0,884626.0,19912.0,0.0,0.0,145561.0,0.0,0.0,-145561.0,2067.0,39540.0,41607.0,104130.0,145737.0,129772.0,275509.0,1794055.0,2231738.0,713192.0,2507247.0,2827202.0,2064.0,3.0,0.0,0.0,9750.0,306912.0,1492.0,0.0,0.0,64.0,204218.0,93458.0,884626.0,0.0,167778.0,38251.0,454.0,834.0,0.0,967.0,0.0,0.0,0.0,0.0,54959.0,126.0,0.0,4375.0,70083.0,122857.0,313003.0,59111.0,437683.0,779676.0,22543.0,76425.0,1984.0,25844.0,1545.0,65.0,65379.0,2073.0,1791.0,8200.0,442.0,0.0,4659.0,0.0,8879.0,71728.0,11805.0,1284.0,113609.0,19912.0,145561.0,-145561.0
1739,ND,2019,838.0,11.0,99852.0,978.0,28312.0,838.0,1014.0,2052.0,132.0,3836.0,26304.0,0.0,372018.0,144411.0,186610.0,630237.0,131355.0,291335.0,45460.0,41203.0,158579.0,0.0,4471.0,0.0,-199663.0,3243.0,0.0,199663.0,2184.0,30140.0,32324.0,1852.0,34176.0,129153.0,163329.0,703039.0,703039.0,163329.0,866368.0,1139590.0,2052.0,132.0,0.0,0.0,83874.0,287210.0,934.0,0.0,4471.0,0.0,17488.0,32069.0,158579.0,3243.0,24004.0,3669.0,130.0,38.0,26304.0,533.0,0.0,0.0,445.0,0.0,28312.0,0.0,0.0,19124.0,13556.0,80961.0,14809.0,15964.0,0.0,106510.0,9042.0,66675.0,392.0,3990.0,8.0,0.0,0.0,3.0,1014.0,0.0,0.0,0.0,99852.0,0.0,576.0,178.0,0.0,83.0,838.0,0.0,-199663.0,199663.0
1799,NE,2019,3693.0,446.0,64215.0,1212.0,11935.0,3693.0,1796.0,2317.0,43.0,7279.0,106252.0,72589.0,240414.0,198755.0,241929.0,438142.0,206891.0,295778.0,76772.0,91243.0,229903.0,0.0,0.0,0.0,-52286.0,0.0,0.0,52286.0,2360.0,113531.0,115891.0,5489.0,121380.0,77808.0,199188.0,681098.0,753687.0,271777.0,952875.0,1108826.0,2317.0,43.0,0.0,0.0,17520.0,222894.0,0.0,0.0,0.0,0.0,35171.0,36231.0,229903.0,0.0,32266.0,6945.0,211.0,123.0,106252.0,492.0,0.0,0.0,720.0,0.0,11935.0,0.0,0.0,7578.0,44501.0,95935.0,12922.0,37820.0,72589.0,190051.0,7890.0,38572.0,239.0,5177.0,110.0,8.0,282.0,45.0,841.0,780.0,175.0,0.0,64215.0,0.0,3080.0,167.0,0.0,446.0,3693.0,0.0,-52286.0,52286.0
1859,NH,2019,33916.0,1229.0,3859.0,29.0,13019.0,33916.0,3624.0,470.0,4.0,6227.0,0.0,113890.0,4182.0,55340.0,152617.0,248161.0,103199.0,27089.0,41302.0,73810.0,74403.0,0.0,0.0,0.0,-68605.0,0.0,0.0,68605.0,474.0,6227.0,6701.0,37540.0,44241.0,18136.0,62377.0,212139.0,326029.0,176267.0,388406.0,493561.0,470.0,4.0,0.0,0.0,0.0,4182.0,0.0,0.0,0.0,0.0,15377.0,6565.0,74403.0,0.0,14606.0,6043.0,67.0,117.0,0.0,29.0,0.0,0.0,0.0,0.0,13019.0,0.0,0.0,166.0,8291.0,10148.0,26276.0,10459.0,113890.0,96520.0,35829.0,6765.0,205.0,13296.0,798.0,68.0,0.0,364.0,1404.0,1713.0,508.0,0.0,3859.0,0.0,13486.0,2068.0,16412.0,1951.0,33916.0,0.0,-68605.0,68605.0
1919,NJ,2019,3298.0,31706.0,196.0,466.0,236.0,3298.0,13457.0,1717.0,0.0,33938.0,0.0,278147.0,13780.0,789301.0,848615.0,529831.0,717896.0,217801.0,326504.0,389282.0,449118.0,0.0,0.0,0.0,85745.0,0.0,0.0,-85745.0,1717.0,33938.0,35655.0,16755.0,52410.0,32604.0,85014.0,1651696.0,1929843.0,363161.0,2014857.0,2181314.0,1717.0,0.0,0.0,0.0,0.0,13780.0,0.0,0.0,0.0,1028.0,97626.0,23850.0,449118.0,0.0,129699.0,32658.0,478.0,803.0,0.0,466.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,7989.0,248751.0,67700.0,303045.0,161814.0,278147.0,674503.0,28925.0,123833.0,430.0,20922.0,10850.0,1460.0,9039.0,10358.0,232.0,10703.0,2522.0,0.0,196.0,0.0,2664.0,249.0,0.0,385.0,3298.0,0.0,85745.0,-85745.0
1979,NM,2019,14967.0,15047.0,61374.0,885.0,1409.0,14967.0,354.0,2226.0,0.0,8804.0,0.0,0.0,151468.0,305133.0,261476.0,423898.0,230054.0,184726.0,69724.0,87181.0,163905.0,0.0,0.0,0.0,-87551.0,0.0,0.0,87551.0,2226.0,8804.0,11030.0,15321.0,26351.0,78715.0,105066.0,718077.0,718077.0,105066.0,823143.0,995583.0,2226.0,0.0,0.0,0.0,1458.0,150010.0,0.0,0.0,0.0,0.0,23446.0,30639.0,163905.0,0.0,30806.0,8447.0,214.0,143.0,0.0,55.0,241.0,517.0,72.0,0.0,1409.0,0.0,0.0,12713.0,43714.0,111550.0,106565.0,30591.0,0.0,206669.0,4816.0,40530.0,4046.0,5416.0,2092.0,12.0,12163.0,780.0,66.0,288.0,0.0,0.0,61348.0,26.0,13060.0,18.0,0.0,1889.0,14967.0,0.0,-87551.0,87551.0
2039,NV,2019,3191.0,49970.0,2933.0,36359.0,19966.0,3191.0,909.0,1055.0,0.0,10702.0,0.0,0.0,37177.0,315473.0,302109.0,335093.0,273446.0,106818.0,91598.0,104935.0,197183.0,0.0,0.0,0.0,-5863.0,0.0,0.0,5863.0,1055.0,10702.0,11757.0,4100.0,15857.0,109228.0,125085.0,654759.0,654759.0,125085.0,779844.0,911890.0,1055.0,0.0,0.0,0.0,6678.0,30498.0,0.0,0.0,0.0,27.0,43904.0,42396.0,197183.0,0.0,39856.0,10212.0,172.0,318.0,0.0,349.0,416.0,30877.0,4717.0,0.0,19966.0,0.0,0.0,5718.0,49909.0,21537.0,201667.0,36642.0,0.0,256434.0,2276.0,35142.0,142.0,8114.0,5809.0,359.0,42242.0,1561.0,5.0,904.0,0.0,0.0,2933.0,0.0,2688.0,114.0,0.0,389.0,3191.0,0.0,-5863.0,5863.0
2099,NY,2019,64890.0,22510.0,39680.0,1185.0,272679.0,64890.0,31131.0,9889.0,0.0,48524.0,7459.0,468481.0,13648.0,1333007.0,1401413.0,1119351.0,1194777.0,280769.0,680384.0,843687.0,856321.0,0.0,55568.0,0.0,92312.0,6434.0,0.0,-92312.0,9889.0,55983.0,65872.0,96021.0,161893.0,336054.0,497947.0,2748068.0,3216549.0,966428.0,3714496.0,4118968.0,9889.0,0.0,0.0,0.0,8889.0,4759.0,0.0,0.0,55568.0,9622.0,171081.0,59875.0,856321.0,6434.0,256210.0,46411.0,1010.0,1103.0,7459.0,434.0,0.0,0.0,751.0,529.0,272092.0,58.0,0.0,27052.0,488901.0,93426.0,390433.0,333194.0,468481.0,1101803.0,137217.0,85657.0,4466.0,72269.0,10608.0,208.0,4514.0,7179.0,5059.0,21604.0,4468.0,12.0,39642.0,25.0,35447.0,18644.0,5672.0,5128.0,64890.0,0.0,92312.0,-92312.0
2159,OH,2019,38601.0,3269.0,18192.0,3435.0,3585.0,38601.0,13949.0,5825.0,108.0,40257.0,31661.0,177624.0,594257.0,1257472.0,1074878.0,712578.0,893342.0,865860.0,384442.0,542266.0,948581.0,0.0,0.0,0.0,371380.0,0.0,0.0,-371380.0,5933.0,71918.0,77851.0,52550.0,130401.0,28481.0,158882.0,2926607.0,3104231.0,336506.0,3263113.0,3398488.0,5825.0,108.0,0.0,0.0,113484.0,480773.0,0.0,0.0,0.0,129.0,178195.0,171450.0,948581.0,0.0,156982.0,38657.0,538.0,1062.0,31661.0,2596.0,0.0,0.0,839.0,0.0,3585.0,0.0,0.0,31993.0,309355.0,340896.0,386008.0,189218.0,177624.0,816739.0,30111.0,185153.0,10821.0,32054.0,749.0,231.0,1207.0,1082.0,8299.0,5550.0,100.0,641.0,17521.0,30.0,21259.0,13397.0,869.0,3075.0,38601.0,0.0,371380.0,-371380.0
2219,OK,2019,28438.0,734.0,258317.0,24.0,34758.0,28438.0,5924.0,3523.0,56.0,15462.0,0.0,0.0,93953.0,861755.0,517138.0,876832.0,464018.0,549483.0,131118.0,164161.0,366852.0,0.0,0.0,0.0,-144448.0,0.0,0.0,144448.0,3579.0,15462.0,19041.0,34362.0,53403.0,293833.0,347236.0,1472846.0,1472846.0,347236.0,1820082.0,2185612.0,3523.0,56.0,0.0,0.0,4926.0,89027.0,0.0,0.0,0.0,0.0,81226.0,71324.0,366852.0,0.0,68533.0,14859.0,307.0,296.0,0.0,24.0,0.0,0.0,0.0,0.0,34758.0,0.0,0.0,57863.0,70037.0,334213.0,349308.0,50334.0,0.0,387774.0,8393.0,109495.0,188.0,11288.0,156.0,5.0,531.0,42.0,5669.0,255.0,0.0,0.0,258317.0,0.0,4325.0,23487.0,0.0,626.0,28438.0,0.0,-144448.0,144448.0
2279,OR,2019,73501.0,9438.0,58496.0,2884.0,270017.0,73501.0,5420.0,7617.0,20.0,13884.0,1892.0,0.0,27430.0,302048.0,330818.0,595886.0,312250.0,184916.0,106844.0,150923.0,273156.0,0.0,0.0,0.0,-75375.0,0.0,0.0,75375.0,7637.0,15776.0,23413.0,78921.0,102334.0,340835.0,443169.0,660296.0,660296.0,443169.0,1103465.0,1350819.0,7617.0,20.0,0.0,0.0,1186.0,26244.0,0.0,0.0,0.0,92.0,65804.0,50048.0,273156.0,0.0,56035.0,13292.0,239.0,353.0,1892.0,390.0,166.0,1651.0,676.0,0.0,270017.0,0.0,0.0,6024.0,50478.0,60064.0,151379.0,34103.0,0.0,285225.0,4760.0,30071.0,83.0,10678.0,2492.0,141.0,6023.0,783.0,1457.0,3651.0,311.0,0.0,58496.0,0.0,26998.0,39632.0,2965.0,3905.0,73501.0,0.0,-75375.0,75375.0
